META,YEAR,MONTH,USAGE,RAW,REAL,SPOT
SM,2016,FEB,15.16606,571796,477209,4
SM,2016,MAR,14.86194,589327,492378,5
SM,2016,APR,13.76862,373396,311012,7
SM,2016,MAY,13.67304,529303,441619,7
SM,2016,JUN,13.98824,561516,469402,5
SM,2016,JUL,24.08578,883721,742394,6
SM,2016,AUG,13.21249,852303,709308,7
SM,2016,SEP,12.77558,767474,632273,5
SM,2016,OCT,12.42122,669390,552966,7
SM,2016,NOV,12.68155,469415,387883,5
SM,2016,DEC,12.25860,132044,108396,4
SM,2017,JAN,13.61309,90572,74548,2
USUM,2018,FEB,16.17712,525241,446276,4
USUM,2018,MAR,16.72964,576877,489105,4
USUM,2018,APR,16.43761,527200,447871,3
USUM,2018,MAY,15.65081,540269,458117,4
USUM,2018,JUN,16.08671,548039,465832,4
USUM,2018,JUL,17.39308,644317,550705,4
USUM,2018,AUG,17.46477,661834,563003,4
USUM,2018,SEP,16.52910,588896,498838,5
USUM,2018,OCT,15.58434,551340,465360,5
USUM,2018,NOV,15.22522,535127,450223,6
USUM,2018,DEC,16.07665,539184,456885,6
USUM,2019,JAN,17.49465,593327,505587,4
