META,YEAR,MONTH,USAGE,RAW,REAL,RANK
GEN7,2018,FEB,37.74755,1020905,868691,1
GEN7,2018,MAR,36.78383,1072193,910598,1
GEN7,2018,APR,37.50661,1007441,859529,1
GEN7,2018,MAY,36.52975,1035003,880833,1
GEN7,2018,JUN,36.23966,1023017,870529,1
GEN7,2018,JUL,37.06538,1172685,1006344,1
GEN7,2018,AUG,34.16414,1097719,936596,1
GEN7,2018,SEP,35.26596,1049317,897660,1
GEN7,2018,OCT,35.66119,1050149,899417,1
GEN7,2018,NOV,33.83922,983149,839032,1
GEN7,2018,DEC,34.81319,964461,827979,1
GEN7,2019,JAN,37.60975,1081340,934748,1
GEN7,2019,FEB,37.78739,960366,826115,1
GEN7,2019,MAR,36.53928,1155640,993761,1
GEN7,2019,APR,34.27359,1174535,1011146,1
GEN7,2019,MAY,33.87374,1270091,1095355,1
GEN7,2019,JUN,37.00975,1497947,1294878,1
GEN7,2019,JUL,36.90157,1321864,1142262,1
GEN7,2019,AUG,37.15957,1202104,1036806,1
